epoch,loss,USR,GUR,APR,MIA
1,0.9245561501185099,0.5308641975308642,0.4315068493150685,0.34004237288135597,0.4244791666666667
2,0.7246535590489706,0.5925925925925926,0.4315068493150685,0.26432606941081516,0.4192708333333333
3,0.5870372734864553,0.691358024691358,0.3698630136986301,0.31562752219531875,0.4244791666666667
4,0.43935687478383384,0.7530864197530864,0.3356164383561644,0.32082324455205813,0.4088541666666667
5,0.31445926721890766,0.6790123456790124,0.3561643835616438,0.3104317998385795,0.4088541666666667
6,0.2324581111073494,0.8148148148148148,0.2602739726027397,0.3743946731234867,0.4140625
7,0.17390964182217916,0.7160493827160493,0.2808219178082192,0.41293381759483455,0.4036458333333333
8,0.1274815733532111,0.7160493827160493,0.2808219178082192,0.4148506860371267,0.4036458333333333
9,0.10160278348128,0.8271604938271605,0.19863013698630136,0.44118240516545604,0.4088541666666667
10,0.08105572157601515,0.7901234567901234,0.2945205479452055,0.4505649717514124,0.3984375
11,0.06005355399847031,0.8518518518518519,0.3219178082191781,0.46095641646489105,0.3984375
12,0.0536504197070996,0.8271604938271605,0.3082191780821918,0.46796811945117034,0.3880208333333333
13,0.04635308533410231,0.8148148148148148,0.2534246575342466,0.4444612590799032,0.3984375
14,0.04301847269634406,0.8395061728395061,0.2671232876712329,0.4670601291364003,0.4036458333333333
15,0.03615315004438162,0.7407407407407407,0.273972602739726,0.44309927360774815,0.4036458333333333
16,0.031723205223679544,0.691358024691358,0.2876712328767123,0.481638418079096,0.4036458333333333
17,0.0242079484735926,0.7407407407407407,0.3013698630136986,0.5521589991928975,0.4140625
18,0.02405894737690687,0.7160493827160493,0.273972602739726,0.442090395480226,0.4036458333333333
19,0.027398989925781887,0.7160493827160493,0.3013698630136986,0.4327078288942696,0.3932291666666667
